Id,Label,timeset,0,indegree,outdegree,Degree,clustering,eigencentrality,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Theoretical Computer Science,Theoretical Computer Science,,0,45,131,176,0.255245,0.132111,2,2,0.593705,0.657831,0.006415
Theoretical Physics,Theoretical Physics,,0,54,45,99,0.448213,0.141155,0,3,0.472665,0.516867,0.001982
Tony Hoare,Tony Hoare,,0,73,89,162,0.655797,0.548133,5,2,0.560054,0.607229,0.000688
Touchscreen,Touchscreen,,0,7,12,19,0.349673,0.036779,1,3,0.381434,0.406024,0.000069
Toxicology,Toxicology,,0,45,14,59,0.532143,0.107024,4,4,0.342127,0.373695,0.000198
Trygve Reenskaug,Trygve Reenskaug,,0,67,80,147,0.804727,0.536111,5,2,0.553333,0.596386,0.000017
Turing Award,Turing Award,,0,17,28,45,0.33779,0.080306,1,2,0.517456,0.533735,0.000847
Turing Machine,Turing Machine,,0,20,25,45,0.27619,0.052061,1,2,0.515528,0.53012,0.000808
Turing Test,Turing Test,,0,6,19,25,0.270563,0.034691,3,3,0.42132,0.453012,0.000111
Type Theory,Type Theory,,0,12,93,105,0.429499,0.035249,2,2,0.563094,0.612048,0.000671
Ubiquitous Computing,Ubiquitous Computing,,0,59,99,158,0.415182,0.303988,2,2,0.567715,0.619277,0.000862
Unified Modeling Language,Unified Modeling Language,,0,76,83,159,0.678999,0.581465,5,2,0.555556,0.6,0.00108
Unified Process,Unified Process,,0,70,82,152,0.766781,0.550918,5,2,0.554813,0.598795,0.000167
University Of Cambridge,University Of Cambridge,,0,12,20,32,0.228836,0.046889,1,3,0.421748,0.454217,0.002768
Urban Planning,Urban Planning,,0,37,27,64,0.60148,0.081122,3,3,0.451087,0.485542,0.000106
Victor Basili,Victor Basili,,0,68,81,149,0.788569,0.543521,5,2,0.554072,0.59759,0.000029
Virtual Machine,Virtual Machine,,0,59,88,147,0.459735,0.303504,2,2,0.559299,0.606024,0.002723
Virtual Reality,Virtual Reality,,0,66,90,156,0.42998,0.330816,2,2,0.560811,0.608434,0.003688
Volcanology,Volcanology,,0,26,18,44,0.553782,0.058244,0,3,0.403696,0.43494,0.00003
Ward Cunningham,Ward Cunningham,,0,68,81,149,0.782251,0.543521,5,2,0.554072,0.59759,0.000241
Waterfall Model,Waterfall Model,,0,72,82,154,0.785777,0.568397,5,2,0.554813,0.598795,0.00027
Watts Humphrey,Watts Humphrey,,0,68,83,151,0.756443,0.543521,5,2,0.555556,0.6,0.000096
Wayback Machine,Wayback Machine,,0,146,4,150,0.138491,0.541519,3,4,0.314394,0.327108,0.005814
Web Engineering,Web Engineering,,0,19,187,206,0.194334,0.050291,0,2,0.645412,0.725301,0.00671
Web Science,Web Science,,0,18,9,27,0.596667,0.047016,0,2,0.505481,0.510843,0.000051
Winston W. Royce,Winston W. Royce,,0,68,80,148,0.811574,0.543521,5,2,0.553333,0.596386,0.00008
World Wide Web,World Wide Web,,0,83,15,98,0.394529,0.368785,2,3,0.37865,0.405221,0.005518
Zoology,Zoology,,0,49,36,85,0.525141,0.119377,4,3,0.439153,0.482731,0.000427
Wikipedia:Citation Needed,Wikipedia:Citation Needed,,0,183,0,183,0.121059,0.629306,3,0,0,0,0
Template:Science,Template:Science,,0,16,179,195,0.207677,0.040099,0,2,0.637481,0.715663,0
Template:Software Engineering,Template:Software Engineering,,0,68,76,144,0.863303,0.543521,5,2,0.550398,0.591566,0.000002
Template Talk:Software Engineering,Template Talk:Software Engineering,,0,68,71,139,0.722598,0.543521,5,2,0.546772,0.585542,0.000434
Help:Authority Control,Help:Authority Control,,0,286,0,286,0.124414,1,1,0,0,0,0
Category:Wikipedia Articles With Gnd Identifiers,Category:Wikipedia Articles With Gnd Identifiers,,0,255,0,255,0.124518,0.838778,1,0,0,0,0
Category:Wikipedia Articles With Lccn Identifiers,Category:Wikipedia Articles With Lccn Identifiers,,0,152,0,152,0.153407,0.608689,1,0,0,0,0
Portal:Computer Science,Portal:Computer Science,,0,65,39,104,0.461991,0.324171,2,2,0.524652,0.546988,0.003689
Portal:Science,Portal:Science,,0,35,19,54,0.457576,0.079733,0,3,0.456546,0.483534,0.000549
Wikipedia:Citing Sources,Wikipedia:Citing Sources,,0,99,0,99,0.114203,0.292999,3,0,0,0,0
Wikipedia:Verifiability,Wikipedia:Verifiability,,0,108,0,108,0.108169,0.362318,3,0,0,0,0
Help:Maintenance Template Removal,Help:Maintenance Template Removal,,0,140,0,140,0.102364,0.462414,1,0,0,0,0
Category:Wikipedia Articles With Ndl Identifiers,Category:Wikipedia Articles With Ndl Identifiers,,0,185,0,185,0.125,0.599755,4,0,0,0,0
Data Structure,Data Structure,,0,16,20,36,0.353448,0.108188,1,2,0.512346,0.524096,0.000257
Cybernetic,Cybernetic,,0,39,42,81,0.353815,0.129488,3,3,0.51425,0.542972,0.001209
Robotic,Robotic,,0,46,28,74,0.338695,0.135833,0,2,0.517456,0.533735,0.001381
Complex System,Complex System,,0,43,32,75,0.343716,0.139874,3,2,0.52005,0.538554,0.001801
Statistic,Statistic,,0,115,41,156,0.298238,0.456085,2,2,0.525982,0.549398,0.008953
Very-Large-Scale Integration,Very-Large-Scale Integration,,0,59,88,147,0.451376,0.304651,2,2,0.559299,0.606024,0.000571
Thermodynamic,Thermodynamic,,0,62,38,100,0.452962,0.163344,0,3,0.467342,0.507229,0.001812
Video Game,Video Game,,0,67,15,82,0.489576,0.33061,2,3,0.383549,0.410843,0.000525
Intrusion-Detection System,Intrusion-Detection System,,0,59,10,69,0.61828,0.302987,2,3,0.372866,0.394378,0.00005
Economic,Economic,,0,61,39,100,0.337282,0.150023,3,2,0.524652,0.546988,0.002852
Slavic Language,Slavic Language,,0,4,10,14,0.25,0.016564,1,4,0.284247,0.304016,0.000022
Mathematic,Mathematic,,0,101,48,149,0.211981,0.313598,1,2,0.530691,0.557831,0.011166
Semiotic,Semiotic,,0,33,26,59,0.403529,0.083891,3,3,0.43501,0.471084,0.000389
Formal Method,Formal Method,,0,116,158,274,0.359188,0.730587,2,2,0.61756,0.690361,0.008138
